Index	Start	End	Move	ClientAppName	ConnectionName	ClientInstance	ServerAppName	ServerInstance	ExtraData	RunId																
67	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9409 IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSSRE	TE->sptm-ios6:9409	IOS_SPTMIOSPLUS13	NULL	NULL		1																
68	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9448 IOS_SPTMIOSPLUS13→IOSPLUSTE IOS_SPTXIOSPLUS4ASXTI	IOSPLUSSRE	TE->sptm-ios6:9448	IOS_SPTMIOSPLUS13	IOSPLUSTE	IOS_SPTXIOSPLUS4ASXTI		1																
69	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9449 IOS_SPTMIOSPLUS13→IOSPLUSTE IOS_SPTMIOSPLUS13	IOSPLUSSRE	TE->sptm-ios6:9449	IOS_SPTMIOSPLUS13	IOSPLUSTE	IOS_SPTMIOSPLUS13		1																
70	SPTM-IOS6	SPTMPNXDS	IOSPLUSTE ORH primary IOS_SPTXIOSPLUS13→NULL NULL	IOSPLUSTE	ORH primary	IOS_SPTXIOSPLUS13	NULL	NULL		1																
71	SPTM-IOS6	172.17.126.70	IOSPLUSTE ORH secondary IOS_SPTXIOSPLUS13→NULL NULL	IOSPLUSTE	ORH secondary	IOS_SPTXIOSPLUS13	NULL	NULL		1																
72	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE ASX IOS_SPTXIOSPLUS13→ASXTI ASX_SPTXIOSPLUS13	IOSPLUSTE	ASX	IOS_SPTXIOSPLUS13	ASXTI	ASX_SPTXIOSPLUS13		1																
73	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE FIXTI IOS_SPTXIOSPLUS13→NULL NULL	IOSPLUSTE	FIXTI	IOS_SPTXIOSPLUS13	NULL	NULL		1																
74	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE MDFUND IOS_SPTXIOSPLUS13→NULL NULL	IOSPLUSTE	MDFUND	IOS_SPTXIOSPLUS13	NULL	NULL		1																
75	SPTM-IOS6	172.17.127.58	FIXPLUSTE ORH primary FIXPLUS_13→NULL NULL	FIXPLUSTE	ORH primary	FIXPLUS_13	NULL	NULL		1																
76	SPTM-IOS6	10.252.250.17	ASXTI OrderEntry | 1 ASX_SPTXIOSPLUS4ASXTI→NULL NULL	ASXTI	OrderEntry | 1	ASX_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
77	SPTM-IOS6	10.252.250.17	ASXTI OrderEntry | 1_Backup ASX_SPTXIOSPLUS4ASXTI→NULL NULL	ASXTI	OrderEntry | 1_Backup	ASX_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
78	SPTM-IOS6	SPTM-IOS6	ASXTI Sec ID update link ASX_SPTXIOSPLUS4ASXTI→NULL NULL	ASXTI	Sec ID update link	ASX_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
79	SPTM-IOS6	SPTMPNXDS	IOSPLUSSRE ORH primary IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSSRE	ORH primary	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
80	SPTM-IOS6	172.17.126.70	IOSPLUSSRE ORH secondary IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSSRE	ORH secondary	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
81	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9440 IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSSRE	TE->sptm-ios6:9440	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
82	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9448 IOS_SPTXIOSPLUS4ASXTI→IOSPLUSTE IOS_SPTXIOSPLUS4ASXTI	IOSPLUSSRE	TE->sptm-ios6:9448	IOS_SPTXIOSPLUS4ASXTI	IOSPLUSTE	IOS_SPTXIOSPLUS4ASXTI		1																
83	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9449 IOS_SPTXIOSPLUS4ASXTI→IOSPLUSTE IOS_SPTMIOSPLUS13	IOSPLUSSRE	TE->sptm-ios6:9449	IOS_SPTXIOSPLUS4ASXTI	IOSPLUSTE	IOS_SPTMIOSPLUS13		1																
84	SPTM-IOS6	202.94.78.227	CXATI Cross Session Order Management | 2 CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Cross Session Order Management | 2	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
85	SPTM-IOS6	SPTM-IOS6	CXATI Cross Session Order Management | 21 CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Cross Session Order Management | 21	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
86	SPTM-IOS6	202.94.78.227	CXATI Cross Session Order Management | 2_Backup CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Cross Session Order Management | 2_Backup	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
87	SPTM-IOS6	202.94.78.227	CXATI Drop Copy | 3 CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Drop Copy | 3	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
88	SPTM-IOS6	202.94.78.224	CXATI Order Entry | 1 CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Order Entry | 1	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
89	SPTM-IOS6	SPTM-IOS6	CXATI Order Entry | 11 CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Order Entry | 11	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
90	SPTM-IOS6	202.94.78.224	CXATI Order Entry | 1_Backup CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Order Entry | 1_Backup	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
91	SPTM-IOS6	202.94.78.224	CXATI Order Entry | 7 CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Order Entry | 7	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
92	SPTM-IOS6	SPTMPNXDS	CXATI Sec ID update link CXA_SPTXIOSPLUS4ASXTI→NULL NULL	CXATI	Sec ID update link	CXA_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
93	SPTM-IOS6	10.252.250.17	ASXTI OrderEntry | 1 ASX_SPTXIOSPLUS13→NULL NULL	ASXTI	OrderEntry | 1	ASX_SPTXIOSPLUS13	NULL	NULL		1																
94	SPTM-IOS6	10.252.250.17	ASXTI OrderEntry | 1_Backup ASX_SPTXIOSPLUS13→NULL NULL	ASXTI	OrderEntry | 1_Backup	ASX_SPTXIOSPLUS13	NULL	NULL		1																
95	SPTM-IOS6	SPTMPNXDS	ASXTI Sec ID update link ASX_SPTXIOSPLUS13→NULL NULL	ASXTI	Sec ID update link	ASX_SPTXIOSPLUS13	NULL	NULL		1																
96	SPTM-IOS6	172.17.123.130	FIXPLUSTI Order Entry | 1 FIXTI_SPTMIOSPLUS13→NULL NULL	FIXPLUSTI	Order Entry | 1	FIXTI_SPTMIOSPLUS13	NULL	NULL		1																
97	SPTM-IOS6	SPTM-IOS6	FIXPLUSTI OrderEntry | 1 FIXTI_SPTMIOSPLUS13→NULL NULL	FIXPLUSTI	OrderEntry | 1	FIXTI_SPTMIOSPLUS13	NULL	NULL		1																
